Don't Be Confused
18,14
3,1,3,0,0,0,255
11,12,4,0,0,0,0
8,4,2,0,120,255,120
12,12,4,0,0,0,0
6,1,4,0,0,0,0
10,0,4,0,0,0,0
17,6,4,0,0,0,0
11,1,4,0,0,0,0
9,12,4,0,0,0,0
8,5,2,0,0,255,0
0,4,4,0,0,0,0
8,10,2,0,0,0,255
4,9,2,0,0,255,0
11,9,2,0,0,0,255
0,5,4,0,0,0,0
4,0,4,0,0,0,0
16,3,4,0,0,0,0
3,12,4,0,0,0,0
13,11,4,0,0,0,0
6,2,4,0,0,0,0
14,9,4,0,0,0,0
6,3,3,0,120,255,120
13,9,4,0,0,0,0
5,4,3,0,120,255,120
13,10,4,0,0,0,0
0,6,4,0,0,0,0
16,4,4,0,0,0,0
9,1,4,0,0,0,0
7,8,2,0,120,255,120
6,8,1,0,0,0,0
14,2,4,0,0,0,0
6,9,2,0,0,0,255
3,5,2,0,0,255,0
12,3,4,0,0,0,0
1,3,4,0,0,0,0
11,2,4,0,0,0,0
5,13,4,0,0,0,0
14,5,2,0,0,0,255
6,0,4,0,0,0,0
13,6,2,0,0,0,255
7,1,4,0,0,0,0
8,7,2,0,120,255,120
16,6,3,0,0,0,255
12,9,3,0,0,0,255
8,12,4,0,0,0,0
1,9,4,0,0,0,0
6,6,2,0,120,255,120
2,11,4,0,0,0,0
1,2,4,0,0,0,0
15,1,4,0,0,0,0
5,12,4,0,0,0,0
16,7,4,0,0,0,0
12,2,4,0,0,0,0
8,13,4,0,0,0,0
3,0,4,0,0,0,0
5,2,3,0,120,255,120
2,1,4,0,0,0,0
14,8,4,0,0,0,0
15,7,4,0,0,0,0
1,8,4,0,0,0,0
5,8,2,0,120,255,120
16,1,4,0,0,0,0
1,7,4,0,0,0,0
11,0,4,0,0,0,0
10,7,2,0,0,0,255
2,2,4,0,0,0,0
10,1,3,0,0,0,255
10,12,4,0,0,0,0
16,2,4,0,0,0,0
13,3,4,0,0,0,0
11,6,2,0,0,0,255
17,5,4,0,0,0,0
9,11,2,0,0,0,255
6,13,4,0,0,0,0
5,0,4,0,0,0,0
1,10,4,0,0,0,0
12,6,2,0,0,0,255
12,11,3,0,0,0,255
11,4,2,0,120,255,120
5,3,5,0,0,0,0
7,13,4,0,0,0,0
10,5,2,0,120,255,120
2,9,3,0,0,0,255
4,3,3,0,120,255,120
17,4,4,0,0,0,0
4,7,2,0,120,255,120
8,1,4,0,0,0,0
4,12,4,0,0,0,0
17,7,4,0,0,0,0
15,2,3,0,0,0,255
2,5,3,0,0,0,255
